text retrieval conference,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
topic model,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
training data,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
training query,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
true centralized,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
user experience,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
user query,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
web content,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
web document,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
web page,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
web track,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
wikipedia collection,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
wikipedia dataset,SIGIR 2012: Mixture model with multiple centralized retrieval algorithms for result merging in federated search
binary classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
binary similarity,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
bounded monotone,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
case study,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
class distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
classification accuracy,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
classification confidence-we,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
classification evidence,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
classification task,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
click graph,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
click measure,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
clickthrough data,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
conditional random field,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
confidence estimation,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
cosine similarity,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
cost function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
dirichlet distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
dirichlet parameter,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
dirichlet prior,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
document frequency,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
dynamic selection,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
e-commerce system,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
e-commerce website,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
edge model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
error converges,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
error function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
evaluation metric,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
execution time,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
feature extraction,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
feature space,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
feature sparsity,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
feature vector,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
global error,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
global error function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
gold standard,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
harmonic function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
hierarchical category,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
human judge,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information concept,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information filtering,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information propagation,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information retrieval,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information search,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
information storage,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
inverted index,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
ir application,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
ir classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
iterative optimization,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
iterative optimization process,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
iterative process,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
iterative regularization,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
iterative regularization algorithm,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled object,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled training,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled training data,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled training query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
labeled training set,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
language model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
language modeling,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
large graph,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
large scale,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
latent class,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
leaf category,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
lexical feature,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
lexical neighbor,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
likelihood function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
linear combination,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
linear rate,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
local error,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
local error function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
logarithm function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
logistic regression model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
machine learning,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
markov random walk,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
multinomial distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
mutual similarity,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
objective function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
online classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
optimization problem,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
optimization technique,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
pairwise feature,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
parameter learning,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
pattern recognition,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
posterior distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
precision-recall plot,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
probability distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
product category,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
product click,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
product image,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
product page,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query difficulty,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query intent,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query intent classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query length,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query likelihood,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query log,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query set,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
query word,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
random walk,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regression model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularization algorithm,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularization framework,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularization method,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularization model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularized dirichlet distribution,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
regularized dirichlet parameter,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
relevance feedback,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
result breakdown,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
retrieval score,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search click,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search engine,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search result,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search result page,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search system,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search task,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
search vertical,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
similarity function,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
similarity measure,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
social medium,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
social sharing,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
spam detection,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
supervised classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
test query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
test set,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
text categorization,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
text classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
text retrieval,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
time frame,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
time interval,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
training data,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
training label,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
training query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
training set,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
unigram model,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
unigram reg-lex,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
unlabeled data,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
unlabeled object,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
unlabeled query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
user experience,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
user feedback,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
user intent,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
user query,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
user session,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
web knowledge,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
web page,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
web query classification,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
weighted average,SIGIR 2012: Confidence-aware graph regularization with heterogeneous pairwise features
average precision,SIGIR 2012: On per-topic variance in IR evaluation
bayesian information,SIGIR 2012: On per-topic variance in IR evaluation
data frame,SIGIR 2012: On per-topic variance in IR evaluation
descending order,SIGIR 2012: On per-topic variance in IR evaluation
document collection,SIGIR 2012: On per-topic variance in IR evaluation
document sample,SIGIR 2012: On per-topic variance in IR evaluation
empirical result,SIGIR 2012: On per-topic variance in IR evaluation
estimation error,SIGIR 2012: On per-topic variance in IR evaluation
european conference,SIGIR 2012: On per-topic variance in IR evaluation
evaluation measure,SIGIR 2012: On per-topic variance in IR evaluation
evaluation metric,SIGIR 2012: On per-topic variance in IR evaluation
evaluation result,SIGIR 2012: On per-topic variance in IR evaluation
gaussian mixture,SIGIR 2012: On per-topic variance in IR evaluation
gaussian mixture model,SIGIR 2012: On per-topic variance in IR evaluation
gaussian noise,SIGIR 2012: On per-topic variance in IR evaluation
information retrieval,SIGIR 2012: On per-topic variance in IR evaluation
information retrieval evaluation,SIGIR 2012: On per-topic variance in IR evaluation
information school,SIGIR 2012: On per-topic variance in IR evaluation
information search,SIGIR 2012: On per-topic variance in IR evaluation
international conference,SIGIR 2012: On per-topic variance in IR evaluation
ir evaluation data,SIGIR 2012: On per-topic variance in IR evaluation
ir metric,SIGIR 2012: On per-topic variance in IR evaluation
kernel density,SIGIR 2012: On per-topic variance in IR evaluation
knowledge management,SIGIR 2012: On per-topic variance in IR evaluation
language model,SIGIR 2012: On per-topic variance in IR evaluation
likelihood ratio,SIGIR 2012: On per-topic variance in IR evaluation
linear mixed-effects,SIGIR 2012: On per-topic variance in IR evaluation
linear model,SIGIR 2012: On per-topic variance in IR evaluation
original set,SIGIR 2012: On per-topic variance in IR evaluation
paired t-test,SIGIR 2012: On per-topic variance in IR evaluation
population equivalent,SIGIR 2012: On per-topic variance in IR evaluation
pseudo relevance feedback,SIGIR 2012: On per-topic variance in IR evaluation
query expansion,SIGIR 2012: On per-topic variance in IR evaluation
query formulation,SIGIR 2012: On per-topic variance in IR evaluation
query hard,SIGIR 2012: On per-topic variance in IR evaluation
query performance prediction,SIGIR 2012: On per-topic variance in IR evaluation
query term,SIGIR 2012: On per-topic variance in IR evaluation
query version,SIGIR 2012: On per-topic variance in IR evaluation
random effect,SIGIR 2012: On per-topic variance in IR evaluation
random error,SIGIR 2012: On per-topic variance in IR evaluation
random variable,SIGIR 2012: On per-topic variance in IR evaluation
retrieval effectiveness,SIGIR 2012: On per-topic variance in IR evaluation
retrieval quality,SIGIR 2012: On per-topic variance in IR evaluation
retrieval system,SIGIR 2012: On per-topic variance in IR evaluation
scoring function,SIGIR 2012: On per-topic variance in IR evaluation
search result,SIGIR 2012: On per-topic variance in IR evaluation
significance question,SIGIR 2012: On per-topic variance in IR evaluation
significance test,SIGIR 2012: On per-topic variance in IR evaluation
significance testing,SIGIR 2012: On per-topic variance in IR evaluation
smoothing average precision,SIGIR 2012: On per-topic variance in IR evaluation
smoothing effect,SIGIR 2012: On per-topic variance in IR evaluation
smoothing method,SIGIR 2012: On per-topic variance in IR evaluation
standard deviation,SIGIR 2012: On per-topic variance in IR evaluation
statistical precision,SIGIR 2012: On per-topic variance in IR evaluation
statistical significance,SIGIR 2012: On per-topic variance in IR evaluation
statistically significant,SIGIR 2012: On per-topic variance in IR evaluation
stochastic decision,SIGIR 2012: On per-topic variance in IR evaluation
stopword removal,SIGIR 2012: On per-topic variance in IR evaluation
test collection,SIGIR 2012: On per-topic variance in IR evaluation
topic result,SIGIR 2012: On per-topic variance in IR evaluation
topic sample,SIGIR 2012: On per-topic variance in IR evaluation
trec collection,SIGIR 2012: On per-topic variance in IR evaluation
user behavior,SIGIR 2012: On per-topic variance in IR evaluation
weighting model,SIGIR 2012: On per-topic variance in IR evaluation
weighting scheme,SIGIR 2012: On per-topic variance in IR evaluation
bag-of-words model,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
binary search,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
bursty word,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
class distribution,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
class label,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
class label set,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
class prediction,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
classification accuracy,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
classification method,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
classification model,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
classification performance,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
concept drift,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
cosine similarity,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
data mining,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
data set,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
data stream,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
document classification,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
document set,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
feature selection,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
feature space,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
ieee trans,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
information filtering,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
information search,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
information storage,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
information system,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
kernel function,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
language model,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
language modeling,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
learning accuracy,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
learning algorithm,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
learning time,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
local likelihood,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
logistic regression model,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
longest common,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
machine learning,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
maximum likelihood,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
news article,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
parameter setting,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
probabilistic classification model,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
response quickness,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
search index,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
search interval,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
search range,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
search result,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
selection method,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
smoothing method,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
smoothing parameter,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
smoothing technique,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
social medium,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
stationary word,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
statistically significant,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
stochastic language,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
stop word,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
suffix array,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
suffix tree,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
temporal effect,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
temporal selection,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
text categorization,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
text classification,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
text compression,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
text search,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
topic classification,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
topic classification accuracy,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
training data,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
training document,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
training tweet,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
tweet data,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
unigram trigram,SIGIR 2012: Improving tweet stream classification by detecting changes in word probability
